SERVICEREQUESTID,SERVICEPRIORITY,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODE,SERVICETYPECODEDESCRIPTION,SERVICEORDERDATE,SERVICEORDERSTATUS,SERVICECALLCOUNT,AGENCYABBREVIATION,INSPECTIONFLAG,INSPECTIONDATE,RESOLUTION,RESOLUTIONDATE,SERVICEDUEDATE,SERVICENOTES,PARENTSERVICEREQUESTID,ADDDATE,LASTMODIFIEDDATE,SITEADDRESS,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,SERVICESOURCECODE
14-00029200,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 10:13:04 AM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 11:01:33 AM,3/4/2014 10:13:04 AM,,,2/7/2014 10:13:04 AM,9/9/2014 2:45:51 PM,2506 WOODLEY ROAD NW,38.92506563840240,-77.05052668914470,20008,236674,79731,79731,3,3C,3C01,SECOND,204,15,NONE,NONE,NONE,PHONE
14-00029201,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:13:46 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:52 AM,UNKNOWN,2/11/2014 11:18:13 AM,2/14/2014 10:13:46 AM,Comments update:  14-00029201-Broken Parking Meter  Meter Found Working,,2/7/2014 10:13:46 AM,2/11/2014 5:39:55 PM,200 - 299 BLOCK E STREET NW,38.896126132386,-77.01442248474410,,0,476391,409815,2,6C,6C09,FIRST,103,8,NONE,NONE,NONE,OPEN311
14-00029202,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:14:10 AM,CLOSED,1,DDOT,N,2/11/2014 1:37:08 PM,UNKNOWN,2/11/2014 1:33:26 PM,2/14/2014 10:14:10 AM,Comments update:  14-00029202-Broken Parking Meter  Meter Found Working,,2/7/2014 10:14:10 AM,2/12/2014 4:06:36 AM,300 - 369 BLOCK INDEPENDENCE AVENUE SW,38.88756457633990,-77.01588480646250,,0,455704,391732,6,2C,2C03,FIRST,101,NONE,NONE,NONE,NONE,OPEN311
14-00029203,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 10:14:35 AM,CLOSED,1,DDOT,N,2/10/2014 12:56:19 PM,UNKNOWN,2/10/2014 12:56:22 PM,2/12/2014 10:14:35 AM,"POTHOLE STREET REPAIR ( WO # 405570 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 10, 2014",,2/7/2014 10:14:35 AM,2/10/2014 4:06:37 PM,12TH STREET NW & I STREET NW,38.90133185100720,-77.02807538983470,,0,207379,207379,2,2F,2F06,FIRST,101,8,NONE,NONE,NONE,WEB
14-00029204,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 10:14:37 AM,OVERDUE CLOSED,1,DPW,N,,UNKNOWN,7/31/2014 7:38:14 AM,3/4/2014 10:14:37 AM,,,2/7/2014 10:14:37 AM,9/29/2014 4:04:50 PM,1024 49TH STREET NE,38.90389707435080,-76.931965990088,20019,297737,133470,133470,7,7C,7C07,SIXTH,602,31,NONE,NONE,NONE,PHONE
14-00029205,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:14:44 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:50 PM,UNKNOWN,2/11/2014 11:18:24 PM,2/14/2014 10:14:44 AM,Comments update:  14-00029205-Broken Parking Meter  Meter Found Working,,2/7/2014 10:14:44 AM,2/12/2014 10:36:13 AM,1500 - 1599 BLOCK N STREET NW,38.90724058923350,-77.03498179930910,,0,457025,393047,2,2B,2B05,SECOND,208,6,NONE,NONE,NONE,OPEN311
14-00029206,UNKNOWN,S0346,Sanitation Enforcement,SWMSWEEN,Sanitation Enforcement,2/7/2014 10:14:59 AM,OVERDUE CLOSED,1,DPW,Y,2/10/2014 1:39:00 PM,Warning Issued - Close SR,2/18/2014 1:39:17 PM,2/14/2014 10:14:59 AM,,,2/7/2014 10:14:59 AM,2/18/2014 2:06:41 PM,817 4TH STREET NE,38.90073170890490,-77.00036383349790,20002,80438,51994,51994,6,6C,6C05,FIRST,104,25,NONE,NONE,NONE,WEB
14-00029207,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:15:19 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:50 PM,UNKNOWN,2/11/2014 11:18:23 PM,2/14/2014 10:15:19 AM,Comments update:  14-00029207-Broken Parking Meter  Meter Found Working,,2/7/2014 10:15:19 AM,2/12/2014 10:36:13 AM,1800 - 1899 BLOCK E STREET NW,38.89598261058230,-77.04258923462850,,0,455499,391527,2,2A,2A05,SECOND,207,5,NONE,NONE,NONE,OPEN311
14-00029208,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/7/2014 10:15:32 AM,CLOSED,1,DDOT,N,2/25/2014 11:08:28 AM,UNKNOWN,2/25/2014 11:04:04 AM,,"Comments update:  14-00029208-Need a car seat for a unborn child By GAY, KAREN: 2/25/2014 11:03:59 AM Installed properly a used seat ",,2/7/2014 10:15:32 AM,2/25/2014 11:35:53 AM,7035 BLAIR ROAD NW,38.97571947325170,-77.01879661164970,20012,307022,416021,357321,4,4B,4B01,FOURTH,401,17,NONE,NONE,NONE,WEB
14-00029209,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:16:20 AM,CLOSED,1,DDOT,N,2/11/2014 12:52:03 PM,UNKNOWN,2/11/2014 12:48:21 PM,2/14/2014 10:16:20 AM,Comments update:  14-00029209-Broken Parking Meter  Meter Found Working,,2/7/2014 10:16:20 AM,2/12/2014 12:38:01 AM,700 - 799 BLOCK 11TH STREET NW,38.89906658909920,-77.02703493850610,,0,456670,392692,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,OPEN311
14-00029210,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 10:16:28 AM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 12:58:22 PM,3/4/2014 10:16:28 AM,,,2/7/2014 10:16:28 AM,9/9/2014 2:45:51 PM,2713 PENNSYLVANIA AVENUE SE,38.87222824999150,-76.968388859174,20020,45150,30967,30967,7,7A,7A07,SIXTH,607,34,NONE,NONE,NONE,PHONE
14-00029211,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:16:59 AM,CLOSED,1,DDOT,N,2/7/2014 10:39:04 AM,UNKNOWN,2/7/2014 10:33:06 AM,2/14/2014 10:16:59 AM,Comments update:  14-00029211-Address Not Found,,2/7/2014 10:16:59 AM,2/25/2015 2:04:15 PM,15TH STREET NW & K STREET NW,38.90251829672020,-77.03457826705960,,0,226029,226029,2,2B,2B05,SECOND,207,6,NONE,NONE,NONE,PHONE
14-00029212,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/7/2014 10:18:43 AM,CLOSED,1,DDOT,N,2/25/2014 9:47:19 AM,UNKNOWN,2/25/2014 9:44:16 AM,,"Comments update:  14-00029212-need a car seat for a new born By GAY, KAREN: 2/25/2014 9:44:13 AM Properly installed car seat ",,2/7/2014 10:18:43 AM,2/25/2014 10:06:39 AM,2123 CALIFORNIA STREET NW,38.91679081340470,-77.04785764797470,20008,226296,69293,69293,2,2D,2D01,SECOND,208,1,NONE,NONE,NONE,WEB
14-00029213,UNKNOWN,S0000,Abandoned Vehicle - On Public Property,ABAVEHOP,Abandoned Vehicle Operations - Public,2/7/2014 10:18:49 AM,CLOSED,1,DPW,Y,2/14/2014 1:11:00 PM,Nothing Found - Close SR,2/14/2014 1:12:23 PM,2/28/2014 10:18:49 AM,PER AVI L.SHABAZZ THERE WAS NOTHING FOUND ON THE VEHICLE IN QUESTION ON 2/10/14...MP,,2/7/2014 10:18:49 AM,12/4/2014 9:20:16 AM,32ND STREET SE & DENVER STREET SE,38.85835466691930,-76.96150090287520,,0,279654,279841,7,7B,7B05,SIXTH,606,35,NONE,NONE,NONE,PHONE
14-00029214,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:19:42 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:52 AM,UNKNOWN,2/11/2014 11:18:14 AM,2/14/2014 10:19:42 AM,Comments update:  14-00029214-Broken Parking Meter  Meter Found Working,,2/7/2014 10:19:42 AM,2/11/2014 5:39:55 PM,2000 - 2099 BLOCK MASSACHUSETTS AVENUE NW,38.91044561133050,-77.04575910632580,,0,455847,391875,2,2B,2B02,SECOND,208,6,NONE,NONE,NONE,OPEN311
14-00029215,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 10:20:13 AM,CLOSED,1,DDOT,N,2/7/2014 1:38:24 PM,UNKNOWN,2/7/2014 1:38:27 PM,2/12/2014 10:20:13 AM,"POTHOLE STREET REPAIR ( WO # 405561 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 07, 2014",,2/7/2014 10:20:13 AM,2/8/2014 4:35:19 PM,RIVER ROAD NW & WESTERN AVENUE NW,38.95647709515950,-77.09124689034250,,0,279896,280083,3,3E,3E02,SECOND,202,11,NONE,NONE,NONE,WEB
