SERVICEREQUESTID,SERVICEPRIORITY,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODE,SERVICETYPECODEDESCRIPTION,SERVICEORDERDATE,SERVICEORDERSTATUS,SERVICECALLCOUNT,AGENCYABBREVIATION,INSPECTIONFLAG,INSPECTIONDATE,RESOLUTION,RESOLUTIONDATE,SERVICEDUEDATE,SERVICENOTES,PARENTSERVICEREQUESTID,ADDDATE,LASTMODIFIEDDATE,SITEADDRESS,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,SERVICESOURCECODE
14-00028181,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:13:38 AM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:08 PM,2/13/2014 10:13:38 AM,Comments update:  14-00028181-Broken Parking Meter  Meter Found Working,,2/6/2014 10:13:38 AM,2/12/2014 10:07:20 AM,1800 - 1899 BLOCK VIRGINIA AVENUE NW,38.89307442192320,-77.04261328768910,,0,476420,409843,2,2A,2A05,SECOND,207,NONE,NONE,NONE,NONE,OPEN311
14-00028182,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 10:14:30 AM,CLOSED,1,DDOT,N,2/8/2014 8:38:48 AM,UNKNOWN,2/8/2014 8:38:52 AM,2/11/2014 10:14:30 AM,"POTHOLE STREET REPAIR ( WO # 405500 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 07, 2014",,2/6/2014 10:14:30 AM,2/9/2014 12:36:02 AM,ARIZONA AVENUE NW & CANAL ROAD NW,38.924798201685,-77.107124491760,,0,275873,276060,3,3D,3D05,SECOND,205,13,NONE,NONE,NONE,WEB
14-00028183,UNKNOWN,S0406,Street Repair,SISYINOD,SIOD ,2/6/2014 10:14:31 AM,OVERDUE OPEN,1,DDOT,N,8/22/2014 7:26:57 PM,UNKNOWN,,5/19/2014 10:14:31 AM,"Comments update:  14-00028183- By SARTIN, LANEL: 8/22/2014 7:22:53 PM PER CET DARRELL SMITH  The asphalt roadway has a blow-up that is like a speed bump on 22nd St., measures (22*10).  Refer to SBM for scheduled repairs.  ",,2/6/2014 10:14:31 AM,8/22/2014 7:37:53 PM,22ND STREET SE & MINNESOTA AVENUE SE,38.87136391745270,-76.97495296131720,,0,212782,212782,8,8A,8A01,SEVENTH,701,34,NONE,NONE,NONE,PHONE
14-00028184,UNKNOWN,S05SL,Streetlight Repair Investigation,TRAOP001,TOA,2/6/2014 10:14:44 AM,OVERDUE CLOSED,1,DDOT,N,9/12/2014 12:39:09 PM,UNKNOWN,10/1/2014 9:55:14 AM,2/10/2014 10:14:44 AM,"Comments update:  14-00028184- By SARTIN, LANEL: 9/12/2014 12:35:29 PM This service request can be closed.  Work was either completed 100% or this is a duplicate.  Anything prior to the Current Streetlight contract can be closed per Jama Abdi on 9-12-2014. ",,2/6/2014 10:14:44 AM,10/1/2014 11:12:50 AM,CLEVELAND AVENUE NW & GARFIELD STREET NW,38.92752034374910,-77.06323985124880,,0,274076,274263,3,3C,3C08,SECOND,204,15,NONE,NONE,NONE,PHONE
14-00028185,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:15:20 AM,CLOSED,1,DDOT,N,2/11/2014 1:37:08 PM,UNKNOWN,2/11/2014 1:33:15 PM,2/13/2014 10:15:20 AM,Comments update:  14-00028185-Broken Parking Meter  Meter Found Working,,2/6/2014 10:15:20 AM,2/12/2014 4:06:36 AM,300 - 369 BLOCK INDEPENDENCE AVENUE SW,38.88756457633990,-77.01588480646250,,0,455704,391732,6,2C,2C03,FIRST,101,NONE,NONE,NONE,NONE,OPEN311
14-00028186,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 10:15:23 AM,CLOSED,1,DPW,N,,UNKNOWN,2/14/2014 3:02:57 PM,3/3/2014 10:15:23 AM,,,2/6/2014 10:15:23 AM,9/9/2014 2:45:51 PM,1902 R STREET SE,38.86964522517570,-76.97706830818030,20020,54574,27675,27675,8,8A,8A01,SEVENTH,701,34,NONE,NONE,NONE,PHONE
14-00028187,UNKNOWN,S0406,Street Repair,SISYINOD,SIOD ,2/6/2014 10:16:03 AM,OVERDUE OPEN,1,DDOT,N,9/23/2014 10:30:02 AM,UNKNOWN,,5/19/2014 10:16:03 AM,"Comments update:  14-00028187- By HENDERSON, ANTANIA: 9/23/2014 10:26:55 AM Per inspector: The Asphalt pavement street has several sealed cracks that looks like a map drawn on the street otherwise, the street is in fair condition. Caller is request for the street to be resurfaced. Refer to Asset Management to budget and resurface the entire 2800 block of KNOX Street SE.  Thank you,  Victor    By HENDERSON, ANTANIA: 9/23/2014 10:27:42 AM Per inspector; The Asphalt pavement street has several sealed cracks that looks like a map drawn on the street otherwise, the street is in fair condition. Caller is request for the street to be resurfaced. Refer to Asset Management to budget and resurface the entire 2800 block of KNOX Street SE.  Thank you,  Victor   ",,2/6/2014 10:16:03 AM,9/23/2014 11:05:10 AM,2803 KNOX STREET SE,38.85174100059070,-76.96760671060810,20020,278266,120341,120341,8,8B,8B02,SEVENTH,702,36,NONE,NONE,NONE,PHONE
14-00028188,UNKNOWN,S05SL,Streetlight Repair Investigation,TRAOP001,TOA,2/6/2014 10:16:12 AM,OVERDUE CLOSED,1,DDOT,N,2/12/2014 5:22:33 AM,UNKNOWN,2/12/2014 5:18:06 AM,2/10/2014 10:16:12 AM,Comments update:  14-00028188-CALLER IS STATING THAT THE ENTIRE BLOCK OF THE SOUTH SIDE OF THIS ADDRESS ALL THE LIGHTS NEEDS TO BE INSPECTED AND CHECKED OUT ASAP AS WELLRepairs Completed,,2/6/2014 10:16:12 AM,8/28/2014 5:28:05 PM,2519 CONNECTICUT AVENUE NW,38.92317223383490,-77.050817105693,20008,284405,123226,123226,3,3C,3C01,SECOND,204,15,NONE,NONE,NONE,PHONE
14-00028189,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:16:24 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:52 AM,UNKNOWN,2/11/2014 11:18:10 AM,2/13/2014 10:16:24 AM,Comments update:  14-00028189-Broken Parking Meter  Meter Found Working,,2/6/2014 10:16:24 AM,2/11/2014 5:39:55 PM,700 - 799 BLOCK GALLOWAY STREET NE,38.95323059256560,-76.99399209511560,,0,477070,410422,5,5A,5A03,FOURTH,405,19,NONE,NONE,NONE,OPEN311
14-00028190,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:16:28 AM,CLOSED,1,DDOT,N,2/9/2014 8:23:33 PM,UNKNOWN,2/9/2014 8:18:33 PM,2/13/2014 10:16:28 AM,Comments update:  14-00028190-Broken Parking Meter  Meter Found Working,,2/6/2014 10:16:28 AM,2/9/2014 11:48:43 PM,3200 - 3265 BLOCK PROSPECT STREET NW,38.90600128684450,-77.06402363665660,,0,476770,410138,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,OPEN311
14-00028191,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 10:17:09 AM,CLOSED,1,DPW,N,,UNKNOWN,2/12/2014 2:18:09 PM,3/3/2014 10:17:09 AM,,,2/6/2014 10:17:09 AM,12/4/2014 9:20:16 AM,1318 45TH PLACE NE,38.90778363727170,-76.939325222691,20019,68038,42389,42389,7,7D,7D02,SIXTH,601,29,NONE,NONE,NONE,PHONE
14-00028192,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:17:36 AM,CLOSED,1,DDOT,N,2/6/2014 10:37:22 AM,UNKNOWN,2/6/2014 10:33:07 AM,2/13/2014 10:17:36 AM,Comments update:  14-00028192-Address Not Found,,2/6/2014 10:17:36 AM,8/28/2014 5:28:05 PM,1500 K STREET NW,38.90197745536150,-77.03500586767340,20005,242333,85272,85272,2,2B,2B05,SECOND,207,6,NONE,NONE,NONE,PHONE
14-00028193,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:20:30 AM,CLOSED,1,DDOT,N,2/9/2014 7:38:28 PM,UNKNOWN,2/9/2014 7:33:42 PM,2/13/2014 10:20:30 AM,Comments update:  14-00028193-Broken Parking MeterMeter Repaired,,2/6/2014 10:20:30 AM,2/9/2014 10:08:24 PM,100 - 199 BLOCK 7TH STREET NW,38.89130846954810,-77.02190678742910,,0,455404,391432,2,2C,2C03,FIRST,101,NONE,NONE,NONE,NONE,OPEN311
14-00028194,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 10:20:41 AM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 2:23:16 PM,3/3/2014 10:20:41 AM,,,2/6/2014 10:20:41 AM,12/15/2014 10:03:34 AM,1762 LYMAN PLACE NE,38.90510345632150,-76.97702347460750,20002,56375,33156,33156,5,5B,5B10,FIFTH,507,23,NONE,NONE,NONE,PHONE
14-00028195,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:20:57 AM,CLOSED,1,DDOT,N,2/10/2014 10:38:28 PM,UNKNOWN,2/10/2014 10:33:53 PM,2/13/2014 10:20:57 AM,Comments update:  14-00028195-Broken Parking Meter  Meter Found Working,,2/6/2014 10:20:57 AM,2/11/2014 3:07:24 AM,500 - 527 BLOCK 18TH STREET NW,38.89569688834860,-77.041721550150,,0,455463,391491,2,2A,2A05,SECOND,207,5,NONE,NONE,NONE,OPEN311
14-00028196,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/6/2014 10:21:07 AM,CLOSED,1,DDOT,N,2/11/2014 2:49:15 PM,UNKNOWN,2/11/2014 2:44:07 PM,,"Comments update:  14-00028196-requesting a infant car seat installed By GAY, KAREN: 2/11/2014 2:44:03 PM Provided car seat inspection and installation ",,2/6/2014 10:21:07 AM,2/12/2014 9:06:35 AM,2312 L STREET NW,38.90356382199210,-77.05073085100160,20037,242346,85285,85285,2,2A,2A02,SECOND,207,5,NONE,NONE,NONE,WEB
14-00028197,UNKNOWN,S0361,Sidewalk Repair,SISYINOD,SIOD ,2/6/2014 10:21:08 AM,OVERDUE OPEN,1,DDOT,N,7/1/2014 9:24:39 AM,UNKNOWN,,7/1/2014 10:21:08 AM,"Comments update:  14-00028197- By HENDERSON, ANTANIA: 7/1/2014 9:20:18 AM Per inspector Bricks sinking slightly.  4' x 2'; 5' x 2' Refer to SBM  ",,2/6/2014 10:21:08 AM,7/3/2014 12:19:04 PM,1900 - 1999 BLOCK CONNECTICUT AVENUE NW,38.91638406857010,-77.04651893095640,,0,460295,395972,1,1C,1C02,THIRD,303,1,NONE,NONE,NONE,PHONE
14-00028198,UNKNOWN,DMV19,DMV - Vehicle Registration Issues,DRIVEHSE,Driver Vehicle Services,2/6/2014 10:21:28 AM,CLOSED,1,DMV,N,2/8/2014 3:44:00 PM,Mailed - Close SR,2/8/2014 3:45:12 PM,2/18/2014 8:21:28 PM,Replaced and mailed out a new registration card.,,2/6/2014 10:21:28 AM,2/8/2014 4:05:20 PM,2300 H STREET NW,38.89934544857650,-77.05038350704650,20037,242352,85291,85291,2,2A,2A04,SECOND,207,5,NONE,NONE,NONE,PHONE
14-00028199,UNKNOWN,S0336,Out of State Parking Violation (ROSA),PARKENFO,Parking Enforcement,2/6/2014 10:21:30 AM,CLOSED,1,DPW,N,,UNKNOWN,2/7/2014 6:36:14 AM,3/25/2014 10:21:30 AM,,,2/6/2014 10:21:30 AM,5/29/2014 11:14:33 AM,509 P STREET NW,38.90984266403260,-77.01946827052750,20001,238830,81806,81806,6,2C,2C02,THIRD,308,7,NONE,NONE,NONE,PHONE
14-00028200,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 10:22:37 AM,CLOSED,1,DPW,N,,UNKNOWN,2/24/2014 11:26:08 AM,3/3/2014 10:22:37 AM,,,2/6/2014 10:22:37 AM,2/24/2014 11:36:50 AM,901 46TH STREET NE,38.90166448831670,-76.93636196322710,20019,81679,53323,53323,7,7C,7C04,SIXTH,602,31,NONE,NONE,NONE,PHONE
14-00028201,UNKNOWN,HMDCP,How's My Driving - Complaint,HOMYDRPR,How's My Driving Program,2/6/2014 10:22:43 AM,OVERDUE OPEN,1,ORM,N,,UNKNOWN,,2/18/2014 10:22:43 AM,,,2/6/2014 10:22:43 AM,2/19/2014 12:39:17 AM,18TH STREET NW & FLORIDA AVENUE NW,38.91678062219930,-77.04165611770170,,0,207345,207345,1,1C,1C01,THIRD,303,6,NONE,NONE,NONE,PHONE
14-00028202,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 10:23:29 AM,CLOSED,1,DDOT,N,2/8/2014 1:35:37 PM,UNKNOWN,2/8/2014 1:35:38 PM,2/11/2014 10:23:29 AM,"POTHOLE STREET REPAIR ( WO # 405502 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 08, 2014",,2/6/2014 10:23:29 AM,2/9/2014 6:21:38 AM,5800 - 5899 BLOCK MACARTHUR BOULEVARD NW,38.93510402473860,-77.111161724041,,0,476533,409947,3,3D,3D04,SECOND,205,13,NONE,NONE,NONE,WEB
14-00028203,UNKNOWN,S0441,Trash Collection - Missed,SWMCOLTR,Trash Collection,2/6/2014 10:23:42 AM,OVERDUE CLOSED,1,DPW,N,2/7/2014 2:01:00 PM,Nothing Found-Close SR,2/26/2014 2:02:12 PM,2/10/2014 10:23:42 AM,CLD BY AH   02/26/14    COLLECTED BY DS,,2/6/2014 10:23:42 AM,12/4/2014 9:20:16 AM,1028 31ST STREET NW,38.90360729166780,-77.06133401434080,20007,273788,116884,116884,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,PHONE
14-00028204,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/6/2014 10:24:16 AM,CLOSED,1,DPW,Y,2/6/2014 11:11:00 AM,Not Enforceable - Close SR,2/6/2014 11:12:22 AM,2/10/2014 10:24:16 AM,can not enforce street   because address will no go in handheld  @ 1110am  by 239,,2/6/2014 10:24:16 AM,7/17/2014 7:59:59 AM,900 3RD STREET SE,38.87912528908640,-77.00182541629170,20003,308409,164418,164418,6,6D,6D07,FIRST,106,27,NONE,NONE,NONE,PHONE
14-00028205,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 10:25:51 AM,CLOSED,1,DPW,N,,UNKNOWN,2/19/2014 3:28:26 PM,3/3/2014 10:25:51 AM,,,2/6/2014 10:25:51 AM,2/19/2014 3:35:54 PM,1335 10TH STREET NW,38.90828255422640,-77.02575143956980,20001,239735,82709,82709,2,2F,2F06,THIRD,307,7,NONE,NONE,NONE,PHONE
14-00028206,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/6/2014 10:25:59 AM,CLOSED,1,DDOT,N,2/11/2014 2:49:15 PM,UNKNOWN,2/11/2014 2:45:21 PM,,"Comments update:  14-00028206-Needs a care seat installed By GAY, KAREN: 2/11/2014 2:45:19 PM Provided car seat inspeciton ",,2/6/2014 10:25:59 AM,2/12/2014 9:06:35 AM,1416 21ST STREET NW,38.90919060236470,-77.04688486237540,20036,226671,69335,69335,2,2B,2B02,SECOND,208,6,NONE,NONE,NONE,WEB
14-00028207,UNKNOWN,S0196,Leaf Collection,SWSTALCS,Str & Alley Cleaning - Seasonal,2/6/2014 10:26:37 AM,OVERDUE CLOSED,1,DPW,N,3/14/2014 9:11:00 AM,Area Vacuum - Close SR,3/14/2014 9:11:30 AM,2/28/2014 10:26:37 AM,COMPLETED BY LEAF COLLECTION.......CLOSED BY NDAVALL,,2/6/2014 10:26:37 AM,10/23/2014 2:51:09 PM,776 LAMONT STREET NW,38.93068303507560,-77.02568294939390,20010,232926,75950,75950,1,1A,1A09,THIRD,302,2,NONE,NONE,NONE,PHONE
14-00028208,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:27:38 AM,CLOSED,1,DDOT,N,2/11/2014 2:22:13 PM,UNKNOWN,2/11/2014 2:18:06 PM,2/13/2014 10:27:38 AM,Comments update:  14-00028208-Broken Parking Meter  Meter Found Working,,2/6/2014 10:27:38 AM,2/12/2014 7:07:08 AM,600 - 699 BLOCK 21ST STREET NW,38.89783790898790,-77.04666141957420,,0,454977,391005,2,2A,2A06,SECOND,207,5,NONE,NONE,NONE,OPEN311
14-00028209,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 10:28:00 AM,CLOSED,1,DDOT,N,2/10/2014 7:12:40 AM,UNKNOWN,2/10/2014 7:12:43 AM,2/11/2014 10:28:00 AM,"POTHOLE STREET REPAIR ( WO # 405474 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 08, 2014",,2/6/2014 10:28:00 AM,5/29/2014 11:14:33 AM,3009 OTIS STREET NE,38.93491797497080,-76.96571681729290,20018,42146,29346,29346,5,5A,5A11,FIFTH,503,24,NONE,NONE,NONE,PHONE
